Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
9.039569974	streamcluster	102.0	35.0	5.08	0.203	50202561	300649	8009450	15818423	19764195	154272
9.541548031	streamcluster	102.0	34.5	5.08	0.203	50492075	308813	7905214	15610902	19720346	158385
10.043603852	streamcluster	102.0	35.0	5.08	0.203	51174282	304348	8204274	16290093	20173008	158888
10.545940982	streamcluster	102.0	34.5	5.08	0.203	49937537	298790	8059286	16009768	19729790	154026
11.047621428	streamcluster	102.0	35.0	5.08	0.243	48427131	298441	7600181	15068689	18869822	151374
11.549966111	streamcluster	102.0	35.0	5.072	0.203	50316556	301941	8064962	15947553	19792490	153351
12.052022663	streamcluster	102.0	35.0	5.072	0.162	51459697	295875	8467605	16854955	20505682	157328
12.554306564	streamcluster	102.0	35.0	5.08	0.162	50687919	300635	8468332	16846373	20418495	156453
13.056113786	streamcluster	102.0	35.0	5.08	0.162	50358690	302048	8904936	17533569	20887737	152890
13.558166120	streamcluster	102.0	35.0	5.08	0.162	50602302	306050	8057780	15886135	20114731	153534
14.059990062	streamcluster	102.0	35.5	5.08	0.162	65853892	388569	8722967	16454781	23585431	215371
14.334923541	streamcluster	102.0	34.5	5.08	0.162	36614784	210564	5000609	9614994	13254052	123957
0.501260293	vips	102.0	35.0	5.08	0.203	50516349	275761	11321827	23993225	24882043	131080
1.005792702	vips	102.0	35.0	5.08	0.203	51709448	341368	7327928	14090797	19294205	161835
