Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
2.502024182	blackscholes	1	518.4	36	5.064	0.607	259814921	1416329	42186519	83372584	101120115	709163
2.771045399	blackscholes	1	518.4	36	5.064	0.567	165901562	916413	23111198	44105027	59645511	478152
0.500261779	blackscholes	1	518.4	36.5	5.064	0.567	260804562	1530115	41137423	81011084	101131954	736090
1.000985601	blackscholes	1	518.4	36.5	5.064	0.567	260801119	1520365	38933512	75474904	97391508	748575
1.501359519	blackscholes	1	518.4	36	5.064	0.567	260228589	1482710	39242215	76465921	97454409	751262
2.001900264	blackscholes	1	518.4	36.5	5.064	0.567	261799240	1445195	40839724	80198436	99548219	744599
2.502263297	blackscholes	1	518.4	36	5.064	0.567	261338146	1404315	42088729	83147742	100862476	741294
2.788586661	blackscholes	1	518.4	36.5	5.064	0.607	173596221	958649	24685731	46866008	62968079	519419
0.500497627	blackscholes	1	518.4	36.5	5.064	0.567	260067454	1534306	40955640	80776237	101002727	712805
1.001741159	blackscholes	1	518.4	36	5.064	0.567	259130023	1519379	38481209	74778259	96546212	726760
1.502222536	blackscholes	1	518.4	36	5.064	0.567	259167977	1487739	38915489	76146549	96916293	725461
2.002700632	blackscholes	1	518.4	36	5.064	0.567	261808982	1460036	40670496	80096485	99448743	719983
2.503166072	blackscholes	1	518.4	36	5.064	0.567	261028436	1427488	42400659	83726081	101476301	718249
2.781128716	blackscholes	1	518.4	36.5	5.064	0.607	165794043	914774	23048547	44003717	59551354	478382
0.500301693	blackscholes	1	614.4	36	5.064	0.648	305059551	1774937	46941643	92343557	116332822	850482
1.000737713	blackscholes	1	614.4	36	5.064	0.648	309719421	1755083	45602135	88824160	114292633	872437
1.501069981	blackscholes	1	614.4	36	5.064	0.687	307485338	1697934	46469542	91194327	114756268	858065
2.001397301	blackscholes	1	614.4	36.5	5.056	0.648	309248554	1665848	48512495	95836020	117693579	852036
2.369776854	blackscholes	1	614.4	36	5.064	0.648	244590640	1319613	35875814	69165023	89719486	693788
0.500229825	blackscholes	1	614.4	36	5.064	0.607	307548625	1806188	47165497	92962429	117303253	831537
1.000605071	blackscholes	1	614.4	36	5.064	0.648	307651882	1765998	45220685	88174332	113709255	852287
1.501002088	blackscholes	1	614.4	36.5	5.064	0.648	307227147	1714904	46418469	91220375	115068212	847744
2.001746926	blackscholes	1	614.4	36.5	5.056	0.687	306476091	1663300	47758882	94431655	116401274	832851
2.362207385	blackscholes	1	614.4	36	5.056	0.648	242692498	1314195	35478257	68505869	88946960	671117
0.500310355	blackscholes	1	614.4	36	5.064	0.607	307345503	1810451	47140304	92947202	117087036	845283
1.000757381	blackscholes	1	614.4	36	5.064	0.648	307066518	1779935	45001112	87786752	113174355	867129
1.501093572	blackscholes	1	614.4	36	5.064	0.648	308992232	1731656	46823668	92008439	115630847	856926
2.001422366	blackscholes	1	614.4	36.5	5.064	0.687	308220577	1683692	48175455	95364035	117048800	849599
2.355194698	blackscholes	1	614.4	36	5.056	0.648	240497252	1307037	35067604	67642905	88005706	681401
0.500204788	blackscholes	1	710.4	36	5.064	0.648	357283446	2067711	54087568	105959191	134006981	966546
1.000613227	blackscholes	1	710.4	36	5.056	0.728	358543956	2027157	52574664	102320563	131112117	981507
1.50090458	blackscholes	1	710.4	36	5.056	0.728	356110715	1936642	54038538	106143576	132206437	972711
2.001209058	blackscholes	1	710.4	36	5.056	0.728	369679933	1980207	56657646	110900449	137952915	1006894
2.067376465	blackscholes	1	710.4	36.5	5.056	0.728	57674028	304506	7189512	13426741	19144082	167261
0.500205577	blackscholes	1	710.4	36.5	5.056	0.687	356505947	2066575	53756728	105512305	133935495	974446
1.000546625	blackscholes	1	710.4	36.5	5.056	0.728	358853977	2018479	52352663	102098107	131233962	982741
1.500861007	blackscholes	1	710.4	36.5	5.056	0.728	359268246	1959362	54404293	107103469	133657439	975496
2.001249036	blackscholes	1	710.4	36.5	5.056	0.728	370494368	1987027	56133631	109738885	137848068	1003885
2.047233395	blackscholes	1	710.4	37	5.056	0.728	41732729	217530	5160900	9854563	13803571	124762
0.500212302	blackscholes	1	710.4	36.5	5.056	0.728	357777495	2065486	54124985	106118120	134215847	968614
