#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
1.001662472	blackscholes	710.4	37.0	5.064	0.729	348239809	28936	128177532	10878106	9690417	348239670
1.501967024	blackscholes	710.4	37.0	5.064	0.729	349609692	29441	130880118	10731079	9910722	349607600
2.002269018	blackscholes	710.4	37.0	5.064	0.729	349510115	29027	132793511	10461987	9832960	349507351
2.114920305	blackscholes	710.4	37.0	5.064	0.728	101752124	9276	34455173	3186637	2885702	101717885
0.500282348	blackscholes	710.4	37.5	5.064	0.729	351445251	26698	132647438	10871560	9454580	351478641
1.000709070	blackscholes	710.4	37.5	5.056	0.729	350335790	29104	128612368	11052486	10056974	350333507
1.501096779	blackscholes	710.4	37.5	5.056	0.729	348764919	29568	129838385	10837843	10073066	348763496
2.001403543	blackscholes	710.4	37.5	5.056	0.729	351309549	29222	132956232	10610156	9957331	351308194
2.088185733	blackscholes	710.4	37.5	5.064	0.729	80388427	7268	26992876	2539221	2265022	80352328
0.500274778	blackscholes	710.4	37.5	5.064	0.729	349379105	26489	131804703	10625186	9480812	349416544
1.000714244	blackscholes	710.4	37.0	5.056	0.728	350143193	28998	128377543	10928666	10088793	350138837
1.501107821	blackscholes	710.4	37.0	5.064	0.729	347761938	29285	129409248	10738203	10047242	347758465
2.001479310	blackscholes	710.4	37.0	5.056	0.729	350900926	29137	132783431	10547034	10003525	350896956
2.110634668	blackscholes	710.4	37.5	5.064	0.729	96869676	8691	32664114	3035019	2750476	96836056
0.500179033	blackscholes	921.6	37.5	5.056	0.729	449601351	33558	164148670	13284886	11764981	449633891
1.000474734	blackscholes	921.6	37.5	5.056	0.889	451283189	36766	161852192	13478009	12402480	451286501
1.500791578	blackscholes	921.6	37.5	5.056	0.889	450951304	37143	165723761	13211086	12390548	450948534
1.696824428	blackscholes	921.6	38.0	5.056	0.889	199217980	16386	69941599	5814423	5266061	199176778
0.500178765	blackscholes	921.6	37.0	5.064	0.808	453353901	34099	165979632	13429013	11698647	453387945
1.000470448	blackscholes	921.6	37.5	5.056	0.889	453505782	37049	162846113	13644817	12326459	453504995
1.500789680	blackscholes	921.6	37.5	5.056	0.889	451068476	37369	165873388	13317298	12352496	451066159
1.688319767	blackscholes	921.6	37.5	5.056	0.889	191398729	15650	66733288	5610377	5099145	191359956
0.500185062	blackscholes	921.6	38.0	5.056	0.808	452644274	34101	165000473	13462876	11906518	452641915
1.001002901	blackscholes	921.6	37.5	5.056	0.889	454720900	37133	163263386	13702017	12443528	454755291
1.501265408	blackscholes	921.6	38.0	5.056	0.93	451850962	37192	166745685	13287079	12426517	451852662
1.661559864	blackscholes	921.6	38.0	5.056	0.889	166736021	14076	57067988	4936140	4452354	166694645
0.500234596	blackscholes	1036.8	38.0	5.056	0.849	510425460	37883	182977457	14873295	13124949	510464558
1.000497525	blackscholes	1036.8	38.5	5.048	0.97	505215781	40809	179232959	14843049	13599615	505210380
1.500751804	blackscholes	1036.8	38.5	5.048	0.969	531333879	43054	189081152	15311676	14300145	531333864
