Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	INST_RETIRED	BUS_CYCLES	L1I_CACHE	BR_PRED
0.500245126	blackscholes	921.6	36.0	5.056	0.807	463075758	131444631	314175025	463097143	167501769	67293984
1.000529003	blackscholes	921.6	36.5	5.048	0.888	460966126	129106738	308401738	460963482	164221281	66106313
1.500824286	blackscholes	921.6	36.5	5.048	0.888	463272621	137350323	328632515	463271927	169346705	69881319
1.641473474	blackscholes	921.6	36.5	5.048	0.928	152626309	38143969	92414477	152600604	52012540	20055845
0.500170235	blackscholes	1036.8	36.5	5.048	0.807	519838643	145420087	347927130	519860643	184783501	74517494
1.000599330	blackscholes	1036.8	36.5	5.048	0.969	517435799	144551641	345499605	517435435	182429568	73957251
1.486600072	blackscholes	1036.8	36.5	5.048	0.969	531844233	148468243	356644099	531814778	187237870	76222842
0.500169669	blackscholes	1036.8	36.5	5.048	0.848	519982059	145520644	347811454	520006052	185265792	74481374
1.000496007	blackscholes	1036.8	37.0	5.048	0.969	523403657	145804613	348349996	523402814	184183524	74545358
1.469129595	blackscholes	1036.8	36.5	5.048	0.969	511031527	143266354	344143859	511001034	180738750	73521076
0.500170873	blackscholes	1036.8	37.0	5.048	0.848	519473494	145060811	347220949	519496953	184659209	74391318
1.000436852	blackscholes	1036.8	37.0	5.048	0.969	519533717	144583459	345858184	519530048	182783321	74050267
1.485646704	blackscholes	1036.8	37.0	5.04	0.969	528653486	147720328	355115355	528626115	186440178	75858196
0.500677087	blackscholes	1132.8	37.0	5.048	0.888	554430190	153932669	368032069	554452608	195952199	78832976
1.000964426	blackscholes	1132.8	37.0	5.04	1.008	554494773	154575218	369521292	554493327	194425752	78980540
1.401207006	blackscholes	1132.8	37.0	5.04	1.008	467382006	129573940	311680586	467353327	163895685	66614521
0.500169999	blackscholes	1132.8	37.0	5.048	0.848	552411383	153071127	366424307	552435604	194722238	78513798
1.000436301	blackscholes	1132.8	37.0	5.048	1.008	547425493	152822916	365686466	547420730	192458235	78236497
1.408491226	blackscholes	1132.8	37.0	5.04	1.008	474775035	131976145	317659867	474747870	166684824	67897454
0.500160473	blackscholes	1132.8	36.5	5.048	0.807	552384769	153119962	366070285	552406503	195292410	78528043
1.000420583	blackscholes	1132.8	37.5	5.048	1.008	555071739	154237426	368894072	555068533	194135931	78958643
1.402340340	blackscholes	1132.8	37.0	5.04	1.048	466614895	129370995	311218594	466588646	163631261	66543027
0.500166988	blackscholes	1224.0	37.5	5.048	1.008	602137603	164339782	392025750	602162547	209959868	84033610
1.000434083	blackscholes	1224.0	38.0	5.04	1.169	602087581	166001332	395804617	602083100	208724839	84533697
1.299321783	blackscholes	1224.0	38.0	5.04	1.169	380611837	102661579	246880615	380583359	130968602	52842061
0.500229703	blackscholes	1224.0	37.5	5.048	1.008	600370251	163707547	391427164	600396920	208685343	83931926
1.000481750	blackscholes	1224.0	37.5	5.04	1.169	604087400	167352680	400030317	604080361	209807228	85500365
1.308855784	blackscholes	1224.0	37.5	5.04	1.169	394288306	106629444	256903965	394260969	135449777	54988351
0.500156373	blackscholes	1224.0	38.0	5.048	1.008	599672349	163632981	391475379	599694732	208899863	83960601
1.000473791	blackscholes	1224.0	38.0	5.04	1.169	596188683	164913426	394117556	596188654	207361022	84282533
1.315513062	blackscholes	1224.0	38.0	5.04	1.169	401683356	108713581	261864848	401653337	138292703	56060753
0.500235598	blackscholes	1428.0	38.0	5.024	1.286	699403624	183872304	439034598	699431505	234663581	94087114
1.000464008	blackscholes	1428.0	38.0	5.016	1.484	692593658	188282435	449353773	692587682	234567331	95755783
1.165564314	blackscholes	1428.0	38.0	5.016	1.524	254436969	63322075	153190565	254407364	83093446	33000575
0.500152163	blackscholes	1428.0	38.5	5.024	1.286	703843075	186820348	446609629	703871045	237960294	95772056
1.000375681	blackscholes	1428.0	38.5	5.016	1.484	698149693	191456205	457460041	698142590	237574756	97501813
1.153263771	blackscholes	1428.0	38.0	5.016	1.524	232371383	57334143	138842724	232342690	75763662	29961075
0.500245815	blackscholes	1428.0	39.0	5.032	1.207	699541356	185846856	444444227	699570381	237038532	95372071
1.001250811	blackscholes	1428.0	39.0	5.024	1.487	701632358	192765001	460818129	701624477	239477096	98278954
1.150378933	blackscholes	1428.0	39.0	5.024	1.527	232227277	57214128	138526867	232198181	75667375	29928783
0.500201599	blackscholes	1479.0	38.5	5.024	1.366	729272398	191603726	458227600	729299630	244404639	98342169
1.000532159	blackscholes	1479.0	38.5	5.024	1.567	724755344	197999922	473333435	724749741	245043521	100823749
1.121511138	blackscholes	1479.0	39.0	5.024	1.647	196995379	46725282	113637069	196965917	62983294	24656263
0.500145196	blackscholes	1479.0	39.0	5.032	1.247	726149658	191719086	458781881	726173271	244565359	98438477
1.000385966	blackscholes	1479.0	39.5	5.024	1.567	727146871	198789237	475486757	727146515	246102693	101250738
1.118094309	blackscholes	1479.0	39.0	5.024	1.607	195310106	46132515	112176622	195279016	62412791	24357896
0.500204315	blackscholes	1479.0	39.5	5.032	1.446	726643708	191187783	456728977	726668219	244026056	97992484
1.000428214	blackscholes	1479.0	39.5	5.024	1.607	727285394	198632951	474253787	727283702	245778697	100999089
