#Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	EXC_TAKEN	BR_MIS_PRED	BUS_CYCLES
2.826498247	blackscholes	1	518.4	35	5.064	0.567	194139294	53466147	70997358	16626	1061558	194103968
0.500355536	blackscholes	1	518.4	35	5.064	0.526	260174826	80511411	100953829	19661	1539659	260205389
1.000854043	blackscholes	1	518.4	35	5.064	0.567	261491577	75251994	97407248	21574	1529883	261492414
1.50128208	blackscholes	1	518.4	34.5	5.064	0.567	260228385	76442745	97591024	22311	1490819	260226872
2.001688188	blackscholes	1	518.4	35	5.064	0.567	261722243	79764441	99424201	22551	1449710	261718635
2.502093567	blackscholes	1	518.4	35	5.064	0.567	259385508	82532456	100425740	22342	1411090	259352138
2.787786783	blackscholes	1	518.4	35	5.064	0.567	172603426	46578683	62795708	14883	961741	172602481
0.500224885	blackscholes	1	614.4	35	5.064	0.648	306599922	92227742	116539716	23075	1797980	306634571
1.000696442	blackscholes	1	614.4	35	5.064	0.648	305696887	87191923	112513986	25150	1763023	305694532
1.501132112	blackscholes	1	614.4	35	5.056	0.688	308105222	90955606	114800746	26093	1726998	308104364
2.001576063	blackscholes	1	614.4	35	5.064	0.648	308323353	94767030	116792508	26338	1681641	308319369
2.390329258	blackscholes	1	614.4	35	5.064	0.648	259499958	73459585	95097580	22003	1403284	259464498
0.500232052	blackscholes	1	614.4	35.5	5.064	0.607	305610519	92291893	116413312	23131	1788675	305643852
1.00088135	blackscholes	1	614.4	35	5.056	0.648	305208470	87203185	112536911	25177	1752038	305207326
1.501343145	blackscholes	1	614.4	35	5.064	0.648	307555102	91110168	114872114	26175	1717264	307551601
2.001707384	blackscholes	1	614.4	35.5	5.056	0.647	306356139	94100142	115970232	26221	1670510	306360276
2.395495622	blackscholes	1	614.4	35	5.064	0.648	264485258	74836784	96888760	22385	1426951	264444271
0.500228176	blackscholes	1	614.4	35.5	5.064	0.607	306120016	92234412	116593285	23129	1799796	306155041
1.000657344	blackscholes	1	614.4	35	5.056	0.647	309504209	88293932	113999005	25519	1787827	309499967
1.501031459	blackscholes	1	614.4	35.5	5.064	0.648	307086293	90923226	114790072	26093	1730179	307082258
2.001377656	blackscholes	1	614.4	35.5	5.056	0.647	308050712	94103732	116201529	26266	1681038	308049416
2.374475993	blackscholes	1	614.4	35	5.064	0.648	255309689	72410702	93720216	21669	1380399	255276194
0.500210603	blackscholes	1	710.4	35.5	5.064	0.648	356487216	104590902	132833496	26745	2047252	356520714
1.000568551	blackscholes	1	710.4	36	5.056	0.728	354240695	100445955	128992735	29224	1979301	354240959
1.500896187	blackscholes	1	710.4	35.5	5.056	0.728	357924485	105570973	131949068	29990	1933225	357922234
2.002384785	blackscholes	1	710.4	35.5	5.056	0.728	359309091	109695330	134876533	29709	1900646	359308005
2.093432832	blackscholes	1	710.4	35.5	5.056	0.728	83911738	19176523	27990074	7589	448719	83873424
0.500218656	blackscholes	1	710.4	36	5.064	0.687	358857746	106252121	134731118	27063	2089279	358893198
1.002515743	blackscholes	1	710.4	35.5	5.056	0.728	359273500	101733958	130843631	29624	2035853	359272280
1.50284539	blackscholes	1	710.4	35.5	5.056	0.728	357445224	106113878	132502264	30004	1960351	357442774
2.00324759	blackscholes	1	710.4	35.5	5.056	0.728	367714166	110865708	137632885	30498	1979921	367708397
2.074133263	blackscholes	1	710.4	35.5	5.056	0.728	66736203	15399380	22255970	5998	357626	66702224
0.500285409	blackscholes	1	710.4	35.5	5.064	0.687	357235194	105415170	133863791	26831	2071372	357270796
1.000720821	blackscholes	1	710.4	35.5	5.056	0.728	357219564	101181644	130158197	29305	2019856	357214538
1.501042428	blackscholes	1	710.4	35.5	5.056	0.728	358845746	106313509	132750437	30017	1958613	358846374
2.001367732	blackscholes	1	710.4	35.5	5.056	0.728	367179805	110569915	137277995	30321	1966492	367179663
2.077222626	blackscholes	1	710.4	35.5	5.056	0.728	68615911	15859604	22895824	6108	370821	68577002
0.500502844	blackscholes	1	921.6	35.5	5.056	0.768	461149909	130798951	166638555	34236	2576244	461189158
1.00092954	blackscholes	1	921.6	35.5	5.056	0.889	459510811	128897888	163981192	37240	2497359	459505788
1.501235972	blackscholes	1	921.6	36	5.048	0.888	460698969	136990645	168580786	37600	2407419	460702634
1.643234032	blackscholes	1	921.6	36	5.048	0.888	155742346	38802756	53050040	12993	818797	155696902
0.500247768	blackscholes	1	921.6	36.5	5.056	0.687	462266463	131159660	167003222	34356	2573036	462301753
1.000556736	blackscholes	1	921.6	36	5.056	0.849	460499482	128664766	163623350	37343	2468608	460496491
1.500897839	blackscholes	1	921.6	36	5.056	0.889	466117935	138572168	170104364	37900	2401955	466121641
1.647323178	blackscholes	1	921.6	36	5.048	0.888	157127206	39294309	53691990	13111	831376	157083676
0.50025494	blackscholes	1	921.6	36.5	5.056	0.849	462431648	131521367	167661834	34469	2596432	462468061
1.000577173	blackscholes	1	921.6	36.5	5.056	0.889	462454289	129764708	164898781	37635	2480342	462454548
1.500865238	blackscholes	1	921.6	36	5.056	0.928	462647868	136511328	168905614	37683	2424294	462650021
1.628239739	blackscholes	1	921.6	36	5.048	0.888	143145621	36011251	48820643	11958	744017	143099257
0.500178255	blackscholes	1	1036.8	35.5	5.056	0.889	520046142	144696688	184372151	38030	2837536	520085144
1.000458336	blackscholes	1	1036.8	36	5.048	0.969	521734946	144802182	183035362	41574	2730433	521732103
1.500778885	blackscholes	1	1036.8	36.5	5.048	0.969	548945166	152850641	192854218	43866	2779879	548956758
0.500175271	blackscholes	1	1036.8	36	5.056	0.889	519737384	144899092	184568388	38034	2861069	519777872
1.000543881	blackscholes	1	1036.8	36	5.048	0.969	519230842	144510500	182521180	41271	2753529	519223518
1.50086478	blackscholes	1	1036.8	36	5.048	0.969	545833331	152597084	192414766	43837	2798573	545833970
1.504480432	blackscholes	1	1036.8	36	5.048	0.969	3595100	829927	1090768	232	17226	3553464
0.500238749	blackscholes	1	1036.8	36	5.056	0.849	522642207	146215074	186365528	38455	2867488	522679288
1.000519425	blackscholes	1	1036.8	36	5.048	0.969	522414992	145312536	183882637	41620	2732466	522410706
1.486615782	blackscholes	1	1036.8	36	5.048	0.969	529347778	148287037	187324082	42656	2700172	529307353
0.500171337	blackscholes	1	1132.8	36	5.056	0.808	553692705	152515841	194493631	40462	2994692	553732785
1.000516741	blackscholes	1	1132.8	35.5	5.048	1.009	552864739	152674961	192791708	43768	2866503	552859565
1.408967751	blackscholes	1	1132.8	35.5	5.048	1.009	475625885	130834484	166015254	37838	2413411	475583552
0.500222575	blackscholes	1	1132.8	36.5	5.056	0.849	553382058	152587088	194821710	40479	2984977	553419575
1.000504891	blackscholes	1	1132.8	36.5	5.048	1.009	553329755	153262681	193593235	44019	2862334	553328764
1.416059534	blackscholes	1	1132.8	36	5.048	1.009	482225299	133188869	168858353	38462	2434011	482181115
0.500223291	blackscholes	1	1132.8	36	5.056	0.928	552908304	153093827	194995685	40568	2989991	552946869
1.000571377	blackscholes	1	1132.8	36	5.048	1.009	551432536	153297562	193344941	43862	2867061	551428757
1.40965014	blackscholes	1	1132.8	36.5	5.048	1.009	477115918	131990207	167025880	38223	2409403	477073614
0.500165309	blackscholes	1	1224	35.5	5.048	0.969	599442621	163473105	208293218	43540	3241815	599482471
1.000489267	blackscholes	1	1224	36	5.048	1.13	602746651	166095759	208552445	47485	3111944	602741305
1.314830709	blackscholes	1	1224	36	5.04	1.169	405025804	110025480	139570952	31890	2036735	404983719
0.500166131	blackscholes	1	1224	36.5	5.048	1.009	598054869	163181406	208044551	43545	3200325	598086283
1.00043143	blackscholes	1	1224	36	5.048	1.128	604713759	166161461	209009784	47435	3081720	604716850
1.310042554	blackscholes	1	1224	36	5.04	1.169	398786796	108279325	137520058	31380	1987991	398744458
0.500201901	blackscholes	1	1224	35.5	5.048	1.049	602602384	164215724	209207978	43794	3212466	602640881
1.000819749	blackscholes	1	1224	37	5.04	1.171	605842052	167338262	210261041	47998	3073590	606169740
1.318126187	blackscholes	1	1224	36.5	5.04	1.209	406890242	109449681	139159001	31705	2017719	406516350
0.500214183	blackscholes	1	1428	36.5	5.04	1.249	703355475	186505680	237796800	50333	3646525	703398865
1.000473938	blackscholes	1	1428	37	5.032	1.449	708570069	193963456	241124194	54392	3472682	708561925
1.148174939	blackscholes	1	1428	37	5.032	1.489	234058353	57787762	76280633	17807	1140394	234015498
