Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	BUS_CYCLES	BUS_ACCESS_PERIPH	BR_RETURN_SPEC
2.002212693	blackscholes	403.2	34.5	5.072	0.486	201965449	60409234	77048476	201965060	1138	3323121
2.507368600	blackscholes	403.2	34.5	5.064	0.486	204196748	63676849	79115596	204194359	1246	3427561
3.007802904	blackscholes	403.2	34.5	5.072	0.446	201897679	64416519	78912881	201897755	1197	3419383
3.508250542	blackscholes	403.2	34.5	5.072	0.446	222748629	63983697	83847610	222746107	1351	3604681
3.526717990	blackscholes	403.2	35.0	5.064	0.486	7231608	2142472	2666669	7211594	91	119719
0.500288676	blackscholes	403.2	34.0	5.072	0.446	200874303	64803010	80117141	200893729	1251	3421504
1.000897254	blackscholes	403.2	34.5	5.064	0.486	200967665	58140602	75842450	200966311	1195	3335963
1.501367548	blackscholes	403.2	34.5	5.064	0.446	202274576	59689254	76598347	202276214	1106	3370907
2.001933313	blackscholes	403.2	34.0	5.072	0.446	201895395	60719636	77013313	201891778	1187	3398894
2.502378190	blackscholes	403.2	34.5	5.072	0.446	201861173	62859246	78129000	201861070	1244	3446627
3.003150313	blackscholes	403.2	34.5	5.064	0.445	201265374	63664868	78240945	201264817	1187	3454842
3.503678838	blackscholes	403.2	34.5	5.072	0.446	217513721	65680416	83544508	217513818	1290	3642488
3.597147922	blackscholes	403.2	34.5	5.072	0.446	43934721	10905484	15307508	43910875	290	701243
0.500319771	blackscholes	403.2	35.0	5.072	0.486	200524835	64692067	80049165	200545446	1193	3402105
1.000899390	blackscholes	403.2	35.0	5.072	0.486	200472506	57824146	75496528	200470513	1338	3308632
1.501469009	blackscholes	403.2	34.5	5.064	0.446	202511214	59849661	76756538	202510222	1146	3365080
2.002648484	blackscholes	403.2	34.5	5.072	0.446	202161398	60551787	77048633	202159392	1317	3388277
2.503274718	blackscholes	403.2	34.5	5.072	0.446	200696250	62404325	77623804	200735458	1250	3416511
3.003723710	blackscholes	403.2	34.5	5.064	0.486	201640203	64028518	78515896	201598869	1158	3459233
3.504245255	blackscholes	403.2	34.5	5.064	0.446	214630427	64424091	82213717	214608736	1203	3579634
3.575238219	blackscholes	403.2	34.5	5.072	0.446	40255376	9995005	13905708	40255047	254	630320
0.500332010	blackscholes	518.4	35.0	5.064	0.567	258849092	80244465	100500439	258867519	1234	4291639
1.000840639	blackscholes	518.4	35.0	5.064	0.567	260049188	74795393	96679016	260052288	1375	4229676
1.501312599	blackscholes	518.4	35.0	5.064	0.567	260304589	76732314	97579627	260300445	1301	4283243
2.001789717	blackscholes	518.4	34.5	5.064	0.567	259213506	79156370	98507610	259212797	1193	4322987
2.502161988	blackscholes	518.4	35.0	5.064	0.607	259123574	81682306	99616924	259120283	1279	4375005
2.806495807	blackscholes	518.4	35.5	5.064	0.567	178770544	48868496	65265323	178749062	773	2842339
0.500341229	blackscholes	518.4	35.0	5.064	0.567	259732162	80509668	100836739	259753366	1247	4293421
1.000760636	blackscholes	518.4	34.5	5.064	0.567	258793702	74511025	96513524	258790514	1315	4206125
1.501132074	blackscholes	518.4	35.0	5.064	0.567	259402187	75963139	97113393	259402979	1352	4245077
2.001501273	blackscholes	518.4	34.5	5.064	0.567	258021484	78878177	98192899	258017053	1369	4302469
2.501876878	blackscholes	518.4	35.0	5.064	0.567	262022594	82972628	101161075	262022501	1390	4431153
2.793878786	blackscholes	518.4	35.0	5.064	0.607	173360544	46919410	63015069	173338154	785	2743820
0.500273780	blackscholes	518.4	35.0	5.064	0.526	257030318	79540503	99750938	257051819	1324	4196005
1.000683291	blackscholes	518.4	35.0	5.064	0.567	261641198	75324210	97631472	261639279	1222	4201447
1.501067855	blackscholes	518.4	35.0	5.064	0.567	259834143	76515348	97756489	259818663	1267	4226151
2.001442991	blackscholes	518.4	34.5	5.064	0.648	257534733	78936566	98291686	257545996	1318	4257802
2.501882555	blackscholes	518.4	35.0	5.064	0.567	259629269	83404063	101301656	259664505	1313	4381881
2.760409689	blackscholes	518.4	35.0	5.064	0.567	157170887	41108110	56321544	157112222	683	2434787
0.500309041	blackscholes	614.4	35.5	5.064	0.607	306150377	92526180	116837727	306170189	1289	4963504
1.000682927	blackscholes	614.4	35.0	5.064	0.648	306307194	87612326	113166433	306307912	1298	4906000
1.501013114	blackscholes	614.4	35.0	5.064	0.648	307123582	90891320	114611322	307121423	1330	4999351
2.001342052	blackscholes	614.4	35.5	5.056	0.648	307370951	94760630	116852966	307368375	1381	5100794
2.377009622	blackscholes	614.4	35.0	5.064	0.648	253640754	71697827	93086526	253616895	1166	4033810
0.500226852	blackscholes	614.4	34.5	5.064	0.648	306824589	92561307	116789729	306845627	1377	4940631
1.000603342	blackscholes	614.4	35.0	5.064	0.648	304279724	86696079	112120282	304277322	1502	4839209
1.501002541	blackscholes	614.4	35.0	5.064	0.648	307441974	91290953	115071253	307441046	1400	4996776
